customer_name,date,traditional_score,communication_score,final_score,tier
Acme Corp,2024-10-15,54,30,84,HEALTHY
Acme Corp,2024-11-15,52,28,80,HEALTHY
Acme Corp,2024-12-15,50,24,74,ATTENTION NEEDED
Acme Corp,2025-01-15,48,16,64,AT RISK
SecureOps LLC,2024-10-15,32,12,44,AT RISK
SecureOps LLC,2024-11-15,35,15,50,AT RISK
SecureOps LLC,2024-12-15,38,18,56,AT RISK
SecureOps LLC,2025-01-15,42,20,62,ATTENTION NEEDED
TechStart Inc,2024-10-15,54,33,87,HEALTHY
TechStart Inc,2024-11-15,54,32,86,HEALTHY
TechStart Inc,2024-12-15,53,33,86,HEALTHY
TechStart Inc,2025-01-15,55,31,86,HEALTHY
DataFlow Systems,2024-10-15,40,22,62,ATTENTION NEEDED
DataFlow Systems,2024-11-15,45,26,71,ATTENTION NEEDED
DataFlow Systems,2024-12-15,48,30,78,ATTENTION NEEDED
DataFlow Systems,2025-01-15,52,32,84,HEALTHY
NetGuard Solutions,2024-10-15,28,10,38,CRITICAL
NetGuard Solutions,2024-11-15,25,8,33,CRITICAL
NetGuard Solutions,2024-12-15,22,7,29,CRITICAL
NetGuard Solutions,2025-01-15,20,6,26,CRITICAL
CloudNine Tech,2024-10-15,52,30,82,HEALTHY
CloudNine Tech,2024-11-15,53,31,84,HEALTHY
CloudNine Tech,2024-12-15,54,32,86,HEALTHY
CloudNine Tech,2025-01-15,55,33,88,HEALTHY
PipelinePro Ltd,2024-10-15,35,18,53,AT RISK
PipelinePro Ltd,2024-11-15,38,15,53,AT RISK
PipelinePro Ltd,2024-12-15,36,17,53,AT RISK
PipelinePro Ltd,2025-01-15,34,16,50,AT RISK
CyberVault Inc,2024-10-15,50,28,78,ATTENTION NEEDED
CyberVault Inc,2024-11-15,52,32,84,HEALTHY
CyberVault Inc,2024-12-15,48,25,73,ATTENTION NEEDED
CyberVault Inc,2025-01-15,51,30,81,HEALTHY
DevShield IO,2024-10-15,52,30,82,HEALTHY
DevShield IO,2024-11-15,50,28,78,ATTENTION NEEDED
DevShield IO,2024-12-15,48,25,73,ATTENTION NEEDED
DevShield IO,2025-01-15,51,27,78,ATTENTION NEEDED
InfraWatch Inc,2024-10-15,30,14,44,AT RISK
InfraWatch Inc,2024-11-15,28,12,40,AT RISK
InfraWatch Inc,2024-12-15,32,15,47,AT RISK
InfraWatch Inc,2025-01-15,29,13,42,AT RISK
